CASE_ID,ACCIDENT_YEAR,PROC_DATE,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,STATE_ROUTE,LATITUDE,LONGITUDE,COUNTY,CITY
81602142,2021,2021-10-21,2021-09-22,1252,3,MISSION BLVD,PASEO PADRE PKWY,,,,ALAMEDA,FREMONT
81603413,2021,2021-10-22,2021-10-14,1208,4,WARM SPRINGS BLVD,FOURIER AVE,,,,ALAMEDA,FREMONT
81603422,2021,2021-10-22,2021-10-15,1411,5,HOPKINS AVE,JAMESTOWN RD,,,,ALAMEDA,FREMONT
81603424,2021,2021-10-22,2021-10-15,1647,5,GRIMMER BLVD,VALPEY PARK AVE,,,,ALAMEDA,FREMONT
81607189,2021,2021-10-27,2021-09-27,1916,1,NILES BLVD,LINDA DR (1),,,,ALAMEDA,FREMONT
81608334,2021,2021-10-28,2021-10-24,1905,7,SR 84 (NILES CANYON RD),MISSION BLVD,,,,ALAMEDA,FREMONT
81610512,2021,2021-10-29,2021-10-13,0633,3,MINES RD,TECHNOLOGY DR,,,,ALAMEDA,LIVERMORE
81622304,2021,2021-11-11,2021-10-15,1939,5,ISABEL AV,AIRWAY BL,84,37.696380615234375,-121.80534362792969,ALAMEDA,LIVERMORE
81626770,2021,2021-11-17,2021-11-01,1221,1,DECOTO RD,OZARK RIVER WAY,,,,ALAMEDA,FREMONT
81626773,2021,2021-11-17,2021-11-06,1157,6,PASEO PADRE PKWY,WASHINGTON BLVD,,,,ALAMEDA,FREMONT
81631011,2021,2021-11-22,2021-11-11,1955,4,MOWRY AVE,STATE ST,,,,ALAMEDA,FREMONT
81631016,2021,2021-11-22,2021-11-17,1803,3,THORNTON AVE,DUSTERBERRY WAY,,,,ALAMEDA,FREMONT
81633906,2021,2021-11-24,2021-11-11,1524,4,PRESTON AV,VASCO RD,,,,ALAMEDA,LIVERMORE
81635212,2021,2021-11-25,2021-11-01,1838,1,INDUSTRIAL DR,FREMONT BLVD,,,,ALAMEDA,FREMONT
81637839,2021,2021-11-30,2021-11-19,2132,5,HEIDELBERG DR,DARWIN AV,,37.661361694335938,-121.77639770507812,ALAMEDA,LIVERMORE
81639189,2021,2021-12-01,2021-11-25,1146,4,PASEO PADRE PKWY,TAMAYO ST,,,,ALAMEDA,FREMONT
81641724,2021,2021-12-03,2021-11-10,0556,3,VASCO RD,NAYLOR AV,,,,ALAMEDA,LIVERMORE
